Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
new salt nic devices,66,68,175,200,37.71%,34%,1.74,1.31
best pod kit 2019,66,68,150,211,44%,32.23%,3.32,4.18
what is the best pod vape,66,0,145,0,45.52%,0%,1.23,0
smok rpm coil differences,66,0,125,0,52.8%,0%,1.16,0
revenger x,65,92,5943,7755,1.09%,1.19%,13.29,10.33
smok devilkin,65,136,5442,9454,1.19%,1.44%,8.9,6.85
what is salt nicotine,65,99,5262,6224,1.24%,1.59%,9.06,7.95
how much nicotine is in a vape,65,118,4337,5345,1.5%,2.21%,7.07,4.99
smok nord not firing,65,273,2783,3831,2.34%,7.13%,6.84,4.98
why wont my novo charge,65,74,1571,1837,4.14%,4.03%,4.16,5.85
shop vape,65,72,1529,1734,4.25%,4.15%,9.2,8.91
novo not charging,65,74,1091,1397,5.96%,5.3%,4.29,5.28
vape systems,65,76,965,1051,6.74%,7.23%,3.71,3.53
smok novo 2 juice,65,0,327,0,19.88%,0%,3.21,0
smok vape models,65,0,269,0,24.16%,0%,1.94,0
sub ohm pod system,65,0,175,0,37.14%,0%,2.22,0
smok nord taste burnt,65,117,163,403,39.88%,29.03%,1.5,1.88
rda and rta,65,104,153,293,42.48%,35.49%,1.13,1.08
best discreet vape 2019,65,0,98,0,66.33%,0%,1.05,0
vaping.com track order,65,0,69,0,94.2%,0%,1,0
smoke nord,64,95,9642,13543,0.66%,0.7%,5.87,6.23
does vape juice expire,64,0,9515,0,0.67%,0%,5.77,0
vaping mods,64,77,4743,4718,1.35%,1.63%,9.29,10.13
juul mint pods,64,0,2496,0,2.56%,0%,14.7,0
best vape tank for flavor 2019,64,0,1037,0,6.17%,0%,8.03,0
flavour pod terbaik,64,0,925,0,6.92%,0%,5.49,0
best pod vape 2018,64,236,430,1204,14.88%,19.6%,5.98,7.66
are nic salts safe,64,137,375,657,17.07%,20.85%,2.95,2.14
clean vape tank,64,82,335,290,19.1%,28.28%,1.02,1.15
best salt nic juice malaysia,64,0,238,0,26.89%,0%,3.68,0
smok vape not turning on,64,0,209,0,30.62%,0%,3.44,0
vape maintenance,64,91,195,329,32.82%,27.66%,1,1.02
voopoo vinci x,63,0,3840,0,1.64%,0%,17.72,0
smok stick v9 max,63,165,3675,6759,1.71%,2.44%,10.07,7.81
suorin drop vape,63,85,2401,3618,2.62%,2.35%,6.45,5.96
how long does a vape coil last,63,0,2266,0,2.78%,0%,5.55,0
vaping pod,63,0,1567,0,4.02%,0%,4.15,0
online vape stores,63,0,1367,0,4.61%,0%,17.01,0
vape pins,63,0,1190,0,5.29%,0%,3.08,0
vape tastes burnt new coil,63,133,938,951,6.72%,13.99%,1.54,1.1
juul mah,63,90,692,974,9.1%,9.24%,2.77,2.4
smok atomizer short,63,0,669,0,9.42%,0%,6.1,0
nord not hitting,63,0,548,0,11.5%,0%,3.85,0
smok novo 2 vape,63,0,407,0,15.48%,0%,5.06,0
smok species won't turn on,63,78,186,180,33.87%,43.33%,3.04,2.51
best vapes like juul,63,63,179,135,35.2%,46.67%,3.12,1.84
burnt taste in vape,63,85,139,261,45.32%,32.57%,1.03,1.08
best naked 100 flavor,63,0,94,0,67.02%,0%,1.01,0
caliburn uwell,62,0,7957,0,0.78%,0%,10.82,0
how to fix a burnt pod,62,62,1131,816,5.48%,7.6%,4.35,4.08
caliburn burnt taste,62,65,429,190,14.45%,34.21%,3.24,2.09
simple vape pen,62,0,387,0,16.02%,0%,1.72,0
smok mag replacement parts,62,0,385,0,16.1%,0%,2.24,0
vape juice strengths,62,0,289,0,21.45%,0%,1.21,0
smok nord 2 vs nord,62,0,154,0,40.26%,0%,3.43,0
is vaping salt nicotine bad for you,62,151,103,248,60.19%,60.89%,1.15,1.3
smok novo 2 vs 1,62,0,89,0,69.66%,0%,2.11,0
the vape shop,61,0,16314,0,0.37%,0%,11.59,0
smok mag grip,61,97,7431,10820,0.82%,0.9%,8.91,8.31
vaporesso swag kit,61,274,3943,9641,1.55%,2.84%,10.56,7.36
priv n19,61,0,1856,0,3.29%,0%,5.82,0
aio pod terbaik,61,0,1095,0,5.57%,0%,8.1,0
smok v9 max coils,61,146,995,1009,6.13%,14.47%,4.12,1.9
twister 80w vape,61,0,313,0,19.49%,0%,3.91,0
smok novo 2 pods for salt nic,61,0,207,0,29.47%,0%,1.09,0
is salt nicotine safe,61,62,202,213,30.2%,29.11%,2.57,2.43
50 nic vapes,61,0,184,0,33.15%,0%,1.99,0
caliburn koko spec,61,0,142,0,42.96%,0%,1.8,0
small refillable vape,61,84,116,282,52.59%,29.79%,2.42,4.74
vaping.com shipping,61,0,80,0,76.25%,0%,1,0
skrr tank,60,0,2339,0,2.57%,0%,9.57,0
vape.juice,60,0,2188,0,2.74%,0%,7.74,0
best box mods,60,0,2147,0,2.79%,0%,8.49,0
vape mod starter kit,60,61,1943,2090,3.09%,2.92%,9.41,8.58
vapes.com,60,0,1913,0,3.14%,0%,4.16,0
highest nic juice,60,0,857,0,7%,0%,1.01,0
vape juices online,60,0,787,0,7.62%,0%,7.28,0
new coil tastes burnt smok,60,74,614,776,9.77%,9.54%,1.92,1.31
cheaper alternative to juul,60,89,224,233,26.79%,38.2%,2.63,2.49
best vape pod malaysia,60,0,210,0,28.57%,0%,5.6,0
smallest vape pod,60,0,207,0,28.99%,0%,2.47,0
burnt disposable vape,60,0,185,0,32.43%,0%,1.75,0
best salt nic vape 2020,60,0,140,0,42.86%,0%,1.87,0
why does my nord taste burnt with new coil,60,76,138,256,43.48%,29.69%,1.07,1
smok nord vs smok nord 2,60,0,126,0,47.62%,0%,3.79,0
vaping faq,60,0,118,0,50.85%,0%,1.61,0
difference between novo 1 and novo 2,60,0,112,0,53.57%,0%,2.79,0
fetch pod,59,0,15050,0,0.39%,0%,7.22,0
mods vape,59,0,5922,0,1%,0%,10.87,0
best mods,59,0,5465,0,1.08%,0%,8.97,0
wismec r80,59,0,3757,0,1.57%,0%,11.95,0
voopoo drag nano pod,59,0,2656,0,2.22%,0%,8.7,0
novo vapes,59,0,2024,0,2.92%,0%,6.21,0
vape mod kit,59,99,1989,2370,2.97%,4.18%,8.07,6.75
vape website,59,0,1769,0,3.34%,0%,9.54,0
smok. com,59,0,1456,0,4.05%,0%,3.07,0
smok resa stick coil,59,180,1236,1685,4.77%,10.68%,4.73,3.29
vape pod devices,59,0,732,0,8.06%,0%,4.19,0
novo 2 mesh pods,59,0,446,0,13.23%,0%,4.46,0
novo2 pods,59,0,388,0,15.21%,0%,3.8,0
novo.,59,0,332,0,17.77%,0%,3.61,0
suorin air vs suorin air plus,59,171,190,631,31.05%,27.1%,2.62,2.06
difference between rta and rda,59,95,168,221,35.12%,42.99%,1.73,1.11
the best pod system 2019,59,0,120,0,49.17%,0%,2.2,0
best e cig pod system,59,0,94,0,62.77%,0%,2.01,0
ecigs similar to juul,59,0,70,0,84.29%,0%,1.09,0
mint juul pods,58,0,3765,0,1.54%,0%,17.56,0
vape shoo,58,0,1738,0,3.34%,0%,2.98,0
smoke novo 2,58,0,1657,0,3.5%,0%,6.73,0
smok novo 2 starter kit,58,0,805,0,7.2%,0%,6.98,0
best mini vape,58,173,784,1088,7.4%,15.9%,5.64,8.3
sub ohm pod,58,0,591,0,9.81%,0%,3.12,0
tiny vapes,58,0,372,0,15.59%,0%,1.85,0
nord 2 release date,58,0,348,0,16.67%,0%,3.9,0
salt nic device,58,100,311,276,18.65%,36.23%,2.7,2.01
vape com,58,0,298,0,19.46%,0%,1.2,0
smok nic salt vape,58,0,295,0,19.66%,0%,3.49,0
rta tank meaning,58,0,184,0,31.52%,0%,1,0
small vaping devices,58,0,183,0,31.69%,0%,1.15,0
latest vape pod,58,0,169,0,34.32%,0%,2.23,0
vapes that are like juuls,58,0,161,0,36.02%,0%,1.16,0
best small pod vape,58,0,146,0,39.73%,0%,2.23,0
best open pod vape,58,128,125,262,46.4%,48.85%,2.97,4.03
vape alternative to juul,58,0,104,0,55.77%,0%,1.39,0
vape brands,57,71,11308,14011,0.5%,0.51%,6.21,11.46
voopoo vinci pod,57,0,3743,0,1.52%,0%,7.61,0
vape tank,57,0,3668,0,1.55%,0%,13.51,0
vapejuice,57,83,2522,2425,2.26%,3.42%,8.15,7.12
rx 2/3,57,110,1702,2768,3.35%,3.97%,4.48,2.89
uwell crown pod review,57,0,1584,0,3.6%,0%,7.53,0
vapes.,57,0,1551,0,3.68%,0%,6.11,0
pod terbaik indonesia,57,0,1102,0,5.17%,0%,3.75,0
snowwolf mfeng coils,57,96,681,802,8.37%,11.97%,3.96,3.09
why wont my nord hit,57,0,510,0,11.18%,0%,3.77,0
is salt nic bad,57,157,466,748,12.23%,20.99%,3.39,3.09
sigelei shikra coil compatibility,57,0,404,0,14.11%,0%,1.07,0
juul look alikes,57,0,387,0,14.73%,0%,1.04,0
vaporesso luxe zv,57,65,244,512,23.36%,12.7%,4.44,4.64
good small vapes,57,63,161,193,35.4%,32.64%,1.81,1.28
top 10 pod system 2019,57,95,135,220,42.22%,43.18%,3.09,3.6
best small vape device,57,123,103,324,55.34%,37.96%,1.5,2.39
novo 2 vs novo 1,57,108,96,213,59.38%,50.7%,2.51,1.45
vaporesso,56,508,34687,117109,0.16%,0.43%,10.85,7.9
smok nord price,56,355,9343,13256,0.6%,2.68%,7.84,6.16
vap shop,56,73,3511,3111,1.59%,2.35%,5.8,4.39
freemax gemm disposable tank,56,0,1145,0,4.89%,0%,9.71,0
refillable vape pods,56,73,1055,686,5.31%,10.64%,7.05,5.71
smok stick prince wattage,56,83,922,1232,6.07%,6.74%,2.24,1.91
smok morph 219 battery,56,92,600,426,9.33%,21.6%,3.9,2.89
is nicotine salt bad for you,56,0,503,0,11.13%,0%,2.42,0
atomizer short,56,0,478,0,11.72%,0%,24.98,0
smok wont turn on,56,84,267,338,20.97%,24.85%,4.47,3.64
shikra coils,56,0,248,0,22.58%,0%,2.81,0
top salt nic vapes,56,176,237,367,23.63%,47.96%,2.07,1.07
nord not charging,56,72,227,319,24.67%,22.57%,1.78,2.92
smok rpm40 not working,56,0,184,0,30.43%,0%,4.57,0
vapes like a juul,56,0,166,0,33.73%,0%,1.09,0
the best pod mod 2019,56,0,142,0,39.44%,0%,3.02,0
best vaporesso tank,56,0,96,0,58.33%,0%,1.61,0
smok vape stopped working,56,0,91,0,61.54%,0%,2.48,0
buy vape juice online,55,0,4445,0,1.24%,0%,14.23,0
vinci pod mod,55,0,3638,0,1.51%,0%,6.96,0
vapes online,55,0,2604,0,2.11%,0%,12.73,0
moti pod,55,83,2473,5243,2.22%,1.58%,6.28,5.13
vape online store,55,0,1724,0,3.19%,0%,12.58,0
profile 1.5 rda,55,0,1472,0,3.74%,0%,11.63,0
voopoo drag nano pod kit,55,0,1112,0,4.95%,0%,7.33,0
how much nicotine in a vape,55,138,1075,1342,5.12%,10.28%,3.64,2.22
smok novo 2 mesh pod,55,0,484,0,11.36%,0%,4.8,0
novo 2 quartz pod review,55,0,478,0,11.51%,0%,6.99,0
best vape box mod 2019,55,197,462,736,11.9%,26.77%,6.56,3.5
how much is a vape pod,55,0,428,0,12.85%,0%,2.29,0
novo 2 charging,55,0,422,0,13.03%,0%,3.61,0
best juice for smok novo,55,0,345,0,15.94%,0%,3.11,0
priv v8 coils,55,0,208,0,26.44%,0%,1.98,0
vapes with refillable pods,55,0,143,0,38.46%,0%,1.69,0
smok novo vs smok novo 2,55,121,137,245,40.15%,49.39%,1.45,1.4
best pod aio,55,0,134,0,41.04%,0%,3.49,0
how to fix a smok vape,55,0,124,0,44.35%,0%,1.1,0
best naked 100 juice,55,73,122,150,45.08%,48.67%,1,1
mods,0,625,0,75998,0%,0.82%,0,7.28
best nic salt juice,0,443,0,5360,0%,8.26%,0,8.54
voopoo find s trio,0,343,0,8694,0%,3.95%,0,5.57
best refillable pod vape 2018,0,338,0,1445,0%,23.39%,0,6.66
smok novo 2 vs nord,0,328,0,2546,0%,12.88%,0,4.63
smok nord vs novo 2,0,291,0,2627,0%,11.08%,0,5.16
suorin air vs drop,0,280,0,727,0%,38.51%,0,3.54
rpm40 smok,0,257,0,24073,0%,1.07%,0,7.84
smok vape pen 22,0,247,0,23643,0%,1.04%,0,9.77
snowwolf mfeng,0,244,0,10181,0%,2.4%,0,7.45
orion plus,0,242,0,21610,0%,1.12%,0,7.61
juul battery,0,239,0,10561,0%,2.26%,0,10.01
vape taste burnt,0,236,0,775,0%,30.45%,0,1.08
best nicotine salt e liquid,0,225,0,2875,0%,7.83%,0,8.8
horizontech falcon 80w kit,0,219,0,845,0%,25.92%,0,3.14
orion q pod,0,208,0,8101,0%,2.57%,0,5.88
difference between novo and novo 2,0,205,0,631,0%,32.49%,0,1.72
lost vape orion plus,0,192,0,14259,0%,1.35%,0,9.08
novo 2 vs nord,0,187,0,2071,0%,9.03%,0,5.21
joyetech exceed grip,0,185,0,15197,0%,1.22%,0,8.25
is salt nic safe,0,182,0,1462,0%,12.45%,0,3.67
wet lung,0,174,0,12415,0%,1.4%,0,10.52
novo 2 review,0,174,0,2919,0%,5.96%,0,5.68
smok nord problems,0,171,0,2662,0%,6.42%,0,6.54
new novo,0,167,0,1449,0%,11.53%,0,1.53
vape tanks,0,163,0,16736,0%,0.97%,0,12.86
nord vs novo 2,0,161,0,1419,0%,11.35%,0,4.73
best vape pens 2019,0,159,0,729,0%,21.81%,0,3.16
rpm40 kit,0,157,0,6535,0%,2.4%,0,7.4
smok morph kit,0,156,0,4253,0%,3.67%,0,5.8
best stick vape 2019,0,155,0,322,0%,48.14%,0,1.75
smok stick v9 max coils,0,153,0,1377,0%,11.11%,0,1.79
smok rpm,0,152,0,22941,0%,0.66%,0,8.97
smok novo charging problems,0,147,0,1060,0%,13.87%,0,3.5
caliburn pod,0,142,0,59085,0%,0.24%,0,8.45
iqos vape,0,142,0,16235,0%,0.87%,0,11.27
best vaping mods,0,142,0,1482,0%,9.58%,0,6.27
iqos vs vaping,0,141,0,1112,0%,12.68%,0,4.38
vape vs iqos,0,139,0,914,0%,15.21%,0,5.65
orion q pods,0,136,0,3909,0%,3.48%,0,7.14
digiflavor helix,0,135,0,1810,0%,7.46%,0,5.48
why is my smok novo not charging,0,135,0,612,0%,22.06%,0,1.85
pod system terbaik indonesia,0,133,0,2531,0%,5.25%,0,7.81
vape losing flavor,0,133,0,166,0%,80.12%,0,2.31
smok g priv 2,0,132,0,9292,0%,1.42%,0,9.54
best nicotine salt vape,0,132,0,439,0%,30.07%,0,2.83
tiny vape mods,0,130,0,1516,0%,8.58%,0,5.89
smok nord short circuit,0,127,0,537,0%,23.65%,0,4.54
best vaping mods 2019,0,127,0,396,0%,32.07%,0,2.93
best small vape mod 2019,0,126,0,419,0%,30.07%,0,2.87
smok novo won't charge,0,123,0,1006,0%,12.23%,0,4.24
2019 best vape mods,0,123,0,442,0%,27.83%,0,2.96
lux 200 coils,0,123,0,327,0%,37.61%,0,2.47
new vape mods 2019,0,122,0,2495,0%,4.89%,0,7.03
alternative juul pods,0,122,0,1308,0%,9.33%,0,6.5
how many people vape in the world,0,121,0,2784,0%,4.35%,0,3.82
smok nord not working,0,121,0,2665,0%,4.54%,0,5.61
best fruit vape juice 2019,0,121,0,271,0%,44.65%,0,1.08
infinix smok,0,120,0,6007,0%,2%,0,6.93
why does my smok nord taste burnt,0,119,0,374,0%,31.82%,0,1.01
exceed grip,0,117,0,24176,0%,0.48%,0,7.17
smok i priv,0,116,0,10405,0%,1.11%,0,7.85
suorin drop vs air,0,116,0,244,0%,47.54%,0,2.98
vaping vs iqos,0,115,0,988,0%,11.64%,0,4.59
falcon 80w kit,0,115,0,720,0%,15.97%,0,3.55
juul look alike,0,115,0,706,0%,16.29%,0,1.28
best pen vape 2019,0,115,0,350,0%,32.86%,0,2.73
vape pen 22,0,114,0,18343,0%,0.62%,0,8.07
smok rpm 40,0,114,0,6848,0%,1.66%,0,11.52
smok nord pin stuck,0,114,0,1943,0%,5.87%,0,5.71
best salt nic,0,113,0,3146,0%,3.59%,0,8.17
vaping truth,0,113,0,916,0%,12.34%,0,10.3
vape kits online,0,113,0,721,0%,15.67%,0,5.24
is salt nicotine bad for you,0,112,0,314,0%,35.67%,0,2.92
best mini vapes 2019,0,112,0,226,0%,49.56%,0,1.07
vaporesso armour pro,0,111,0,3166,0%,3.51%,0,14.17
best vape kit 2019,0,111,0,1683,0%,6.6%,0,7.17
burnt coil vape,0,111,0,1372,0%,8.09%,0,2.97
smallest vape mod,0,111,0,316,0%,35.13%,0,7.32
rebuildable pod vape,0,111,0,253,0%,43.87%,0,12.96
highest nicotine vape,0,110,0,1065,0%,10.33%,0,1.46
best mods of 2019,0,108,0,340,0%,31.76%,0,2.49
orion q,0,107,0,15285,0%,0.7%,0,8.24
smok tank,0,106,0,11507,0%,0.92%,0,8.66
best vape system,0,105,0,202,0%,51.98%,0,4.88
smallest vape mods,0,104,0,383,0%,27.15%,0,9.63
my smok vape wont turn on,0,104,0,348,0%,29.89%,0,3.22
best salt nic device 2019,0,103,0,222,0%,46.4%,0,1.37
best ultra portable vape,0,102,0,112,0%,91.07%,0,11.05
smok nord vs smok novo 2,0,101,0,523,0%,19.31%,0,4.25
best mod,0,100,0,3065,0%,3.26%,0,8.26
vaporesso tarot pro,0,99,0,2099,0%,4.72%,0,6.77
best wattage for vape,0,99,0,723,0%,13.69%,0,2.71
the real truth about vaping,0,99,0,315,0%,31.43%,0,3.81
how to fix smok nord short circuit,0,99,0,230,0%,43.04%,0,3.26
wet lung vaping,0,98,0,1197,0%,8.19%,0,6.06
best nicotine salt juice,0,98,0,1073,0%,9.13%,0,9.05
how to fix short circuit on smok nord,0,97,0,237,0%,40.93%,0,2.84
smok stick v9,0,96,0,9714,0%,0.99%,0,8.2
pod systems 2019,0,96,0,485,0%,19.79%,0,2.27
best salt nic pod system 2019,0,96,0,184,0%,52.17%,0,2.08
best salt nic juice flavors,0,95,0,1891,0%,5.02%,0,6.06
best salt nic mods,0,95,0,164,0%,57.93%,0,1.28
vaporesso luxe,0,93,0,11589,0%,0.8%,0,10.58
smok nord kit price,0,93,0,1795,0%,5.18%,0,5.17
smok morph 219 coils,0,92,0,2301,0%,4%,0,5.32
pod paling bagus,0,92,0,937,0%,9.82%,0,6.87
my smok nord won't turn on,0,92,0,449,0%,20.49%,0,3.05
best juice for suorin air,0,92,0,165,0%,55.76%,0,6
horizontech falcon kit,0,91,0,973,0%,9.35%,0,5.29
do novo pods fit novo 2,0,91,0,383,0%,23.76%,0,1.79
smok nord not detecting pod,0,91,0,261,0%,34.87%,0,2.69
smok morph 219 mod,0,90,0,1377,0%,6.54%,0,5.11
best wattage for vaping,0,90,0,910,0%,9.89%,0,2.17
novo pre filled pods,0,90,0,143,0%,62.94%,0,1.08
salt nic side effects,0,89,0,1026,0%,8.67%,0,4.79
why wont my smok novo charge,0,89,0,451,0%,19.73%,0,3.64
top 10 pod systems 2019,0,89,0,255,0%,34.9%,0,3.35
smok x priv,0,88,0,14443,0%,0.61%,0,10.18
smok nord aio 22,0,88,0,3808,0%,2.31%,0,6
smok novo 2 pods difference,0,88,0,223,0%,39.46%,0,1.71
rta and rda,0,88,0,166,0%,53.01%,0,1.35
best salt nic flavors,0,87,0,1980,0%,4.39%,0,7.04
why is my smok novo not hitting,0,87,0,1398,0%,6.22%,0,4.2
pod system 2019,0,87,0,523,0%,16.63%,0,4.85
is nicotine salt safe,0,87,0,509,0%,17.09%,0,2
how to vape for the first time,0,87,0,355,0%,24.51%,0,3.62
no nicotine juul alternatives,0,87,0,251,0%,34.66%,0,1.02
smok mico kit,0,86,0,8767,0%,0.98%,0,6.84
smok rpm40 review,0,86,0,2806,0%,3.06%,0,8.78
smok 219,0,86,0,1231,0%,6.99%,0,4.14
juul battery capacity,0,86,0,560,0%,15.36%,0,2.68
stick v9 max coils,0,86,0,410,0%,20.98%,0,1.58
eleaf mini istick,0,85,0,8964,0%,0.95%,0,10.02
vaping starter kits,0,85,0,1954,0%,4.35%,0,7.92
orion vape,0,84,0,22362,0%,0.38%,0,8.51
caliburn vs nord,0,84,0,1914,0%,4.39%,0,7.35
smok rha 220w,0,84,0,914,0%,9.19%,0,6.85
stealth vapes,0,84,0,675,0%,12.44%,0,3.73
smok resa stick coils,0,84,0,602,0%,13.95%,0,2.26
top 10 vape mods 2019,0,84,0,276,0%,30.43%,0,2.53
horizontech falcon 80w,0,84,0,247,0%,34.01%,0,2.91
are nic salts bad for you,0,84,0,216,0%,38.89%,0,2.45
best salt nic vape 2019,0,84,0,155,0%,54.19%,0,1.41
suorin air juice,0,83,0,858,0%,9.67%,0,9.73
smok nic salt,0,83,0,368,0%,22.55%,0,2.75
innevape heisenberg,0,82,0,1191,0%,6.88%,0,5.74
top vape pods 2019,0,82,0,260,0%,31.54%,0,2.78
vape smells burnt,0,82,0,206,0%,39.81%,0,1.05
obs alter pod kit,0,81,0,1097,0%,7.38%,0,3.6
top vape 2019,0,81,0,458,0%,17.69%,0,5.12
smok alien ohm too low,0,81,0,432,0%,18.75%,0,9.01
juul substitutes,0,81,0,230,0%,35.22%,0,1.73
top box mods 2019,0,81,0,227,0%,35.68%,0,2.46
suorin air vs suorin drop,0,81,0,123,0%,65.85%,0,4.44
smok rpm40 coils,0,80,0,2932,0%,2.73%,0,6.33
does iqos smell,0,80,0,2081,0%,3.84%,0,3.61
best sub ohm mod,0,80,0,909,0%,8.8%,0,5.17
smok mag wont turn on,0,80,0,638,0%,12.54%,0,5.18
is iqos safer than vaping,0,80,0,324,0%,24.69%,0,3.15
horizontech falcon kit 80w,0,80,0,292,0%,27.4%,0,2.63
vapes better than juul,0,80,0,157,0%,50.96%,0,2.36
vape box,0,79,0,14678,0%,0.54%,0,9.58
smok nord coils,0,79,0,8365,0%,0.94%,0,9.61
smok nord won't fire,0,79,0,1045,0%,7.56%,0,5.96
does njoy contain diacetyl,0,79,0,539,0%,14.66%,0,5.65
smok priv n19 settings,0,79,0,393,0%,20.1%,0,4.18
drag 2 platinum kit,0,78,0,2659,0%,2.93%,0,7.2
my smok novo wont charge,0,78,0,426,0%,18.31%,0,3.87
juul competitor,0,78,0,277,0%,28.16%,0,2.82
novo 2 pods difference,0,78,0,172,0%,45.35%,0,1.19
good salt nic vapes,0,78,0,137,0%,56.93%,0,1
pico vape,0,77,0,4647,0%,1.66%,0,3.69
mag p3 kit,0,77,0,1948,0%,3.95%,0,8.14
pod vapes 2019,0,77,0,280,0%,27.5%,0,2.17
smok nord new coil taste burnt,0,77,0,183,0%,42.08%,0,1.12
is iqos better than vaping,0,77,0,160,0%,48.12%,0,2.53
best device for nic salts,0,77,0,134,0%,57.46%,0,1.39
how to clean smok nord coil,0,76,0,1344,0%,5.65%,0,5.06
voopoo drag 2 platinum kit,0,76,0,1225,0%,6.2%,0,6.25
best smok vape 2019,0,76,0,788,0%,9.64%,0,3.03
smok novo 2 vs caliburn,0,75,0,485,0%,15.46%,0,5.34
smok alien baby,0,74,0,2356,0%,3.14%,0,3.94
falcon kit,0,74,0,1423,0%,5.2%,0,5.81
salt nicotine devices,0,74,0,441,0%,16.78%,0,2.33
cheaper juul alternatives,0,74,0,166,0%,44.58%,0,2.64
why is juul so expensive,0,74,0,124,0%,59.68%,0,1.38
snowwolf mfeng 200w,0,73,0,3496,0%,2.09%,0,6.91
best nic salts,0,73,0,2077,0%,3.51%,0,7.85
smok nord button not working,0,73,0,1028,0%,7.1%,0,4.86
smok infinix vs juul,0,73,0,885,0%,8.25%,0,4.92
best stealth vape pen,0,73,0,288,0%,25.35%,0,2.35
best nic salt devices,0,73,0,128,0%,57.03%,0,1.08
is salt nic vape juice bad for you,0,73,0,99,0%,73.74%,0,1.1
drag 2 kit,0,72,0,6705,0%,1.07%,0,5.54
novo smoke,0,72,0,1011,0%,7.12%,0,3.92
vaping wattage sweet spot,0,72,0,633,0%,11.37%,0,3.74
vapes prices,0,72,0,622,0%,11.58%,0,2.77
how long do novo 2 pods last,0,72,0,594,0%,12.12%,0,4
smok m2-0.25 coil 30-50w,0,72,0,337,0%,21.36%,0,3.8
best vape like juul,0,72,0,132,0%,54.55%,0,1.68
best mini e cigarette,0,72,0,81,0%,88.89%,0,9.35
best vape brands 2019,0,71,0,707,0%,10.04%,0,4.26
new coil taste burnt,0,71,0,330,0%,21.52%,0,1.14
best pods vape 2019,0,71,0,237,0%,29.96%,0,3
top pod vape 2019,0,71,0,218,0%,32.57%,0,3.06
top pod systems 2019,0,71,0,166,0%,42.77%,0,2.96
smok alien problems,0,71,0,124,0%,57.26%,0,1.69
suorin air v2,0,70,0,4910,0%,1.43%,0,7.31
smok vape kit,0,70,0,3504,0%,2%,0,9.27
vaporesso cascade one plus,0,70,0,2477,0%,2.83%,0,11.01
smok priv 1,0,70,0,957,0%,7.31%,0,3.34
smok nord troubleshooting,0,70,0,723,0%,9.68%,0,5.94
how many people in the world vape,0,70,0,628,0%,11.15%,0,2.87
my vape taste burnt,0,70,0,199,0%,35.18%,0,1.02
top 10 pod system,0,70,0,157,0%,44.59%,0,3.22
stick prince ile wat,0,70,0,95,0%,73.68%,0,1
aegis x,0,69,0,1189,0%,5.8%,0,24.9
pod terbaru 2019,0,69,0,1073,0%,6.43%,0,6.7
disposable juul alternative,0,69,0,540,0%,12.78%,0,2.13
different types of vape mods,0,69,0,398,0%,17.34%,0,2.53
top 10 vapes 2019,0,69,0,274,0%,25.18%,0,3.02
new vape coil tastes burnt,0,69,0,208,0%,33.17%,0,1.09
best mini vape 2019,0,69,0,151,0%,45.7%,0,1.98
smok stick prince ile wat,0,69,0,108,0%,63.89%,0,1
salt nic juice,0,68,0,12234,0%,0.56%,0,9.52
how to clean vape coil,0,68,0,3842,0%,1.77%,0,6.24
what is a nord,0,68,0,2544,0%,2.67%,0,3.42
rpm40 rba,0,68,0,1758,0%,3.87%,0,6.59
tarot mini,0,68,0,1646,0%,4.13%,0,4.2
smok mag p3 kit,0,68,0,1375,0%,4.95%,0,8.85
smok nord vs uwell caliburn,0,68,0,653,0%,10.41%,0,6.74
how much are vape pods,0,68,0,469,0%,14.5%,0,2.29
best stealth vape mod 2019,0,68,0,289,0%,23.53%,0,5.61
best fruity e juice,0,68,0,237,0%,28.69%,0,4.17
best salt vapes,0,68,0,125,0%,54.4%,0,1.56
best naked 100,0,68,0,103,0%,66.02%,0,1
best mod for salt nic,0,68,0,100,0%,68%,0,1.41
smok short circuit fix,0,68,0,99,0%,68.69%,0,1.39
top 10 vape mods,0,67,0,2114,0%,3.17%,0,7.1
smok stick prince kit,0,67,0,2045,0%,3.28%,0,8.32
resastick,0,67,0,1590,0%,4.21%,0,4.15
smok priv one kit,0,67,0,1488,0%,4.5%,0,5.49
smok resastick,0,67,0,1077,0%,6.22%,0,4.11
tfv12 cloud beast king coils,0,67,0,599,0%,11.19%,0,4.17
juul pods alternative,0,67,0,455,0%,14.73%,0,6.97
best fruity liquid,0,67,0,126,0%,53.17%,0,1.18
box vape,0,66,0,10196,0%,0.65%,0,5.7
what is nicotine salt,0,66,0,3133,0%,2.11%,0,8.17
smok vape mods,0,66,0,3067,0%,2.15%,0,8.78
best vape pod systems 2019,0,66,0,170,0%,38.82%,0,2.29
juul similar,0,66,0,149,0%,44.3%,0,1.81
smok alien kit,0,65,0,5266,0%,1.23%,0,12.66
suorin edge pod,0,65,0,4742,0%,1.37%,0,9.24
stick v9 max,0,65,0,4582,0%,1.42%,0,7.15
helix vape,0,65,0,1391,0%,4.67%,0,5.12
obs alter,0,65,0,964,0%,6.74%,0,5.36
vaping for the first time,0,65,0,650,0%,10%,0,3.04
vape tank leaking from air holes,0,65,0,487,0%,13.35%,0,3.82
